opcode_hex,mnemonic,cpu_level
0x0EE9,CAS,2
0x0EEA,CAS,2
0x0EEB,CAS,2
0x0EEC,CAS,2
0x0EED,CAS,2
0x0EEE,CAS,2
0x0EEF,CAS,2
0x0EF0,CAS,2
0x0EF1,CAS,2
0x0EF2,CAS,2
0x0EF3,CAS,2
0x0EF4,CAS,2
0x0EF5,CAS,2
0x0EF6,CAS,2
0x0EF7,CAS,2
0x0EF8,CAS,2
0x0EF9,CAS,2
0x0EFC,CAS2,2
0x0F08,MVPMR,0
0x0F09,MVPMR,0
0x0F0A,MVPMR,0
0x0F0B,MVPMR,0
0x0F0C,MVPMR,0
0x0F0D,MVPMR,0
