opcode_hex,mnemonic,cpu_level
0xF43C,CPUSHA,4
0xF43D,CPUSHA,4
0xF43E,CPUSHA,4
0xF43F,CPUSHA,4
0xF448,CINVL,4
0xF449,CINVL,4
0xF44A,CINVL,4
0xF44B,CINVL,4
0xF44C,CINVL,4
0xF44D,CINVL,4
0xF44E,CINVL,4
0xF44F,CINVL,4
0xF450,CINVP,4
0xF451,CINVP,4
0xF452,CINVP,4
0xF453,CINVP,4
0xF454,CINVP,4
0xF455,CINVP,4
0xF456,CINVP,4
0xF457,CINVP,4
0xF458,CINVA,4
0xF459,CINVA,4
0xF45A,CINVA,4
0xF45B,CINVA,4
0xF45C,CINVA,4
0xF45D,CINVA,4
0xF45E,CINVA,4
0xF45F,CINVA,4
0xF468,CPUSHL,4
0xF469,CPUSHL,4
0xF46A,CPUSHL,4
0xF46B,CPUSHL,4
0xF46C,CPUSHL,4
0xF46D,CPUSHL,4
0xF46E,CPUSHL,4
0xF46F,CPUSHL,4
0xF470,CPUSHP,4
0xF471,CPUSHP,4
0xF472,CPUSHP,4
0xF473,CPUSHP,4
0xF474,CPUSHP,4
0xF475,CPUSHP,4
0xF476,CPUSHP,4
0xF477,CPUSHP,4
0xF478,CPUSHA,4
0xF479,CPUSHA,4
0xF47A,CPUSHA,4
0xF47B,CPUSHA,4
0xF47C,CPUSHA,4
0xF47D,CPUSHA,4
0xF47E,CPUSHA,4
0xF47F,CPUSHA,4
0xF488,CINVL,4
0xF489,CINVL,4
0xF48A,CINVL,4
0xF48B,CINVL,4
0xF48C,CINVL,4
0xF48D,CINVL,4
0xF48E,CINVL,4
0xF48F,CINVL,4
0xF490,CINVP,4
0xF491,CINVP,4
0xF492,CINVP,4
0xF493,CINVP,4
0xF494,CINVP,4
0xF495,CINVP,4
0xF496,CINVP,4
0xF497,CINVP,4
0xF498,CINVA,4
0xF499,CINVA,4
0xF49A,CINVA,4
0xF49B,CINVA,4
0xF49C,CINVA,4
0xF49D,CINVA,4
0xF49E,CINVA,4
0xF49F,CINVA,4
0xF4A8,CPUSHL,4
0xF4A9,CPUSHL,4
0xF4AA,CPUSHL,4
0xF4AB,CPUSHL,4
0xF4AC,CPUSHL,4
0xF4AD,CPUSHL,4
0xF4AE,CPUSHL,4
0xF4AF,CPUSHL,4
0xF4B0,CPUSHP,4
0xF4B1,CPUSHP,4
0xF4B2,CPUSHP,4
0xF4B3,CPUSHP,4
0xF4B4,CPUSHP,4
0xF4B5,CPUSHP,4
0xF4B6,CPUSHP,4
0xF4B7,CPUSHP,4
0xF4B8,CPUSHA,4
0xF4B9,CPUSHA,4
0xF4BA,CPUSHA,4
0xF4BB,CPUSHA,4
0xF4BC,CPUSHA,4
0xF4BD,CPUSHA,4
0xF4BE,CPUSHA,4
0xF4BF,CPUSHA,4
0xF4C8,CINVL,4
0xF4C9,CINVL,4
0xF4CA,CINVL,4
0xF4CB,CINVL,4
0xF4CC,CINVL,4
0xF4CD,CINVL,4
0xF4CE,CINVL,4
0xF4CF,CINVL,4
0xF4D0,CINVP,4
0xF4D1,CINVP,4
0xF4D2,CINVP,4
0xF4D3,CINVP,4
0xF4D4,CINVP,4
0xF4D5,CINVP,4
0xF4D6,CINVP,4
0xF4D7,CINVP,4
0xF4D8,CINVA,4
0xF4D9,CINVA,4
0xF4DA,CINVA,4
0xF4DB,CINVA,4
0xF4DC,CINVA,4
0xF4DD,CINVA,4
0xF4DE,CINVA,4
0xF4DF,CINVA,4
0xF4E8,CPUSHL,4
0xF4E9,CPUSHL,4
0xF4EA,CPUSHL,4
0xF4EB,CPUSHL,4
0xF4EC,CPUSHL,4
0xF4ED,CPUSHL,4
0xF4EE,CPUSHL,4
0xF4EF,CPUSHL,4
0xF4F0,CPUSHP,4
0xF4F1,CPUSHP,4
0xF4F2,CPUSHP,4
0xF4F3,CPUSHP,4
0xF4F4,CPUSHP,4
0xF4F5,CPUSHP,4
0xF4F6,CPUSHP,4
0xF4F7,CPUSHP,4
0xF4F8,CPUSHA,4
0xF4F9,CPUSHA,4
0xF4FA,CPUSHA,4
0xF4FB,CPUSHA,4
0xF4FC,CPUSHA,4
0xF4FD,CPUSHA,4
0xF4FE,CPUSHA,4
0xF4FF,CPUSHA,4
0xF500,PFLUSHN,4
0xF501,PFLUSHN,4
0xF502,PFLUSHN,4
0xF503,PFLUSHN,4
0xF504,PFLUSHN,4
0xF505,PFLUSHN,4
0xF506,PFLUSHN,4
0xF507,PFLUSHN,4
0xF508,PFLUSH,4
0xF509,PFLUSH,4
0xF50A,PFLUSH,4
0xF50B,PFLUSH,4
0xF50C,PFLUSH,4
0xF50D,PFLUSH,4
0xF50E,PFLUSH,4
0xF50F,PFLUSH,4
0xF510,PFLUSHAN,4
0xF511,PFLUSHAN,4
0xF512,PFLUSHAN,4
0xF513,PFLUSHAN,4
0xF514,PFLUSHAN,4
0xF515,PFLUSHAN,4
0xF516,PFLUSHAN,4
0xF517,PFLUSHAN,4
0xF518,PFLUSHA,4
0xF519,PFLUSHA,4
0xF51A,PFLUSHA,4
0xF51B,PFLUSHA,4
0xF51C,PFLUSHA,4
0xF51D,PFLUSHA,4
0xF51E,PFLUSHA,4
0xF51F,PFLUSHA,4
0xF548,PTESTW,4
0xF549,PTESTW,4
0xF54A,PTESTW,4
0xF54B,PTESTW,4
0xF54C,PTESTW,4
0xF54D,PTESTW,4
0xF54E,PTESTW,4
0xF54F,PTESTW,4
0xF568,PTESTR,4
0xF569,PTESTR,4
0xF56A,PTESTR,4
0xF56B,PTESTR,4
0xF56C,PTESTR,4
0xF56D,PTESTR,4
0xF56E,PTESTR,4
0xF56F,PTESTR,4
